#PDB-name             KORP_energy
T0889D1_s434m5       -2144.516448
T0889D1_s451m1       -3168.472400
T0889D1_s451m2       -3407.162296
T0889D1_s451m3       -3307.222252
T0889D1_s451m4       -3139.348098
T0889D1_s455m1       -4880.112187
T0889D1_s455m4       -3717.857353
T0889D1_s464m2        -697.879602
T0889D1_s464m5       -2538.606869
T0891D1              -2394.899421
T0891D1_s180m1       -1432.956869
T0891D1_s180m4       -1201.181985
T0891D1_s180m5        -771.266612
T0891D1_s287m3       -2428.691574
T0891D1_s321m1        -736.486164
T0891D1_s321m2        -785.471220
T0891D1_s321m4       -1160.918001
T0891D1_s321m5        -757.251336
T0891D1_s432m5       -2296.537625
T0891D1_s434m1        -730.892646
T0891D1_s434m2        -786.047006
T0891D1_s434m3        -639.956282
T0891D1_s434m4        -906.948447
T0891D1_s434m5        -703.614572
T0891D1_s451m2       -1281.990600
T0891D1_s455m1        -448.916589
T0891D1_s455m2        -680.317492
T0891D1_s455m5        -388.339162
T0891D1_s464m2        -821.212336
T0891D1_s464m5        -735.393753
T0892D1              -1253.012028
T0892D1_s016m1        -841.661946
T0892D1_s077m5        -770.512956
T0892D1_s079m5       -1232.531486
T0892D1_s180m4        -677.522638
T0892D1_s258m4        -952.654740
T0892D1_s275m4        -435.323428
T0892D1_s420m1        -916.933259
T0892D1_s420m3        -866.382534
T0892D1_s420m4        -545.251855
T0892D1_s420m5        -826.053633
T0892D1_s434m4        -839.231313
T0892D1_s452m5        -985.450020
T0892D1_s455m1        -317.888768
T0892D1_s455m2        -393.351363
T0892D1_s455m3        -168.151892
T0892D1_s455m4        -312.506301
T0892D1_s455m5        -542.991898
T0892D1_s464m3        -733.509766
T0892D1_s467m4        -915.403251
T0893D1               -978.127079
T0893D1_s180m3        -655.213197
T0893D1_s180m4        -409.728078
T0893D1_s180m5        -774.781681
T0893D1_s321m2        -881.813003
T0893D1_s321m3        -771.475448
T0893D1_s321m4        -888.287371
T0893D1_s321m5        -824.292612
T0893D1_s405m4        -741.462620
T0893D1_s434m1        -859.166183
T0893D1_s434m2       -1021.289215
T0893D1_s434m3       -1037.033822
T0893D1_s434m4       -1004.067267
T0893D1_s434m5       -1101.414467
T0893D1_s455m1        -255.944886
